PoleSlot,Magnet,SlotType,MagThk,Embrace,AirgapFlux,Cogging,Efficiency,Torque
2,2,2,7.4,0.79,0.177599362560343,0,92.4045913573499,0.313259606510034
4,1,3,3.23201534753165,0.873821792649868,0.864925494675999,1.58152501283834,67.3393911940611,3.90913506059209
4,1,1,3.20076365792415,0.879803128990856,0.879856798184719,4.08705001754741,69.1367627161753,4.75659549059996
5,1,2,4.03916159488629,0.850310423339607,0.74063122857161,7.47788832696068,83.7836434595336,6.14439037848829
5,3,1,5.86309619918623,0.82059006572364,0.472871548997398,4.32481483695366,88.344191580528,3.96586195562975
5,1,2,3.54454843196309,0.764049935950721,0.757680112422277,7.50472427816956,83.6114486614533,6.28187573974423
1,3,1,3.79783121281143,0.759798330075449,0.223598409109179,0.988431689878034,92.3597031682668,1.35384193195284
3,2,1,8.39162799428237,0.545604957022506,0.0893849339387456,0.495167403848635,98.8797600766158,0.602264548342073
5,3,2,7.21737102983566,0.812331897658817,0.384095373786886,2.56415447966616,88.8628741990753,2.95964983600114
1,1,3,6.85242850919255,0.747164499500462,0.231689226416696,0.221799002952953,93.9070445542544,0.920905004670241
5,1,3,5.12736413190388,0.689243883342314,0.637427407586617,5.68371972284439,85.5107761581139,4.9570407917676
3,2,3,8.76942051025676,0.611387634546449,0.0840335334958798,0,98.6793721930012,0.104843835965728
4,1,3,5.95364318492063,0.592273906214145,0.631975560843226,2.40915226600751,76.2941762482539,3.14625630359991
4,1,3,7.3186806239348,0.805876925495722,0.671971702215717,1.34074395611798,74.7453812600885,3.00030604271241
5,1,1,3.63875156260295,0.800307383587054,0.684180214887364,7.08766552861412,84.3857403857143,5.8562796699082
5,1,2,3.32761793381791,0.82477830912037,0.769634766607689,7.7758185701871,83.4422343897552,6.37919334578268
4,1,1,5.18540274511988,0.807422722749427,0.777648009453155,2.47849448239955,70.8213503844768,3.67462704215323
4,1,1,7.22700173032117,0.755937867176795,0.591903858697643,0.563156719381421,76.5451564770407,2.24798472119124
4,1,2,8.00779652297485,0.646181921288398,0.434922494994491,0.703245740171241,81.5071036103441,1.8108776660564
5,1,1,8.75389697385751,0.878735301108324,0.289786834948182,1.60318335109875,92.164774855776,2.28180433061699
4,1,3,3.56341819412874,0.840538149475935,0.847743095266721,1.85333236260021,67.7941360249228,3.94139512546885
5,3,2,7.67628781203837,0.786651933382441,0.328702612294563,1.77429025101517,89.3783543600187,2.44976726225166
5,3,3,6.4156668928878,0.859584109325847,0.462795083555565,4.00043954646389,88.6530259600276,3.83629493794564
4,1,3,6.39636901006655,0.742881586314511,0.693204389400205,2.11017860142575,73.566770967846,3.37093344458479
4,1,2,7.4877545915477,0.662654898647268,0.508545512598902,1.12108998197571,78.5536231663948,2.19460065884616
4,1,3,5.370400308842,0.679155193951486,0.71007254307598,2.61002514114668,73.2004538413441,3.58051257919999
4,1,1,4.6530704444433,0.78355014859178,0.796167170602107,2.73869769057223,70.4678948169703,3.89449855405769
4,1,3,6.3199667383721,0.823188262665785,0.737879445877246,1.42155112662305,72.0520522434524,3.3049722037267
5,1,2,8.70858059017081,0.878762643475094,0.159642497233383,0.857855260532468,93.1786426935831,1.58275735486673
1,3,1,4.89590736854259,0.661035944814615,0.211522963756522,0.730347605778067,92.3887843026117,1.24561970134602
1,3,2,3.85078125,0.6462109375,0.365479816593709,0.761029460110555,91.4191217859387,1.39578676164402
3,2,2,8.25825505285867,0.847908953656789,0.0499343311139799,0.241698052445069,98.2743505784116,0.396459576523692
4,1,3,6.82172762689522,0.767944578381217,0.683041629097753,1.82825703103117,74.0272624301963,3.22941146941226
4,1,3,8.61153877091915,0.653549292733388,0.441946778955217,0.834490194451634,81.6450890220875,1.93998669386261
5,1,1,5.60527604510839,0.781216469513763,0.562267867752815,5.39882008539787,86.777519661567,4.701305284344
5,1,2,3.78503325437601,0.846480887981453,0.753185928659328,7.62536461969488,83.63338695945,6.24719337420825
5,1,2,4.48897596701169,0.769692209852489,0.709182806966377,6.89119088261167,84.2222898007284,5.8902035879566
5,1,2,5.50986045350148,0.742415053067148,0.602106285257767,5.45961132333026,85.5422745211531,5.00400731773293
5,1,2,5.66098247721164,0.75677615929412,0.58649880753198,5.27220433265112,85.7719259838517,4.86771309238868
5,1,2,6.4790655227881,0.647453095112296,0.469295096585609,3.70736925931656,86.8607544801184,3.84293255297852
5,1,2,7.9242641040123,0.724920802469402,0.263447206038532,1.19350472849215,90.1595955791806,2.08674193742028
5,1,3,4.22549238483588,0.779866604476538,0.718436239242921,6.9869974682836,84.9220499285413,5.81365884181244
5,1,3,5.43715152426197,0.829862968134802,0.641989852800962,6.00215547101779,86.2270195196545,5.13208677096155
4,1,1,4.02962080122869,0.861090556457748,0.853366596680914,3.5530139162943,69.261910537549,4.40158559236809
5,1,1,6.60385910218427,0.748085062114801,0.450495272833925,3.81424400450203,88.4882443187574,3.59705620922402
5,3,1,4.43148816571395,0.812239295894001,0.59730957427337,5.84778810024949,86.7222844426203,5.03262326658165
3,3,3,4.58992937124778,0.746192976289332,0.154636934157166,0.0652387499660521,96.5485745591192,0.634755468756562
4,1,1,3.78260319191633,0.788678147097442,0.830751153982418,3.20295767630553,69.7929381087716,4.25380356053998
4,1,1,4.06603037506595,0.820099661140127,0.835241751177824,3.2632915663229,69.585136604388,4.25276469403041
4,1,1,6.61655739396453,0.786881519661039,0.656550438803519,1.13438176128712,74.3020353744811,2.68364595319065
4,1,2,6.93490464339491,0.612752553425135,0.563357730345767,1.66043512557122,77.4790613219474,2.65928237893627
4,1,2,7.78496268628939,0.684390517721579,0.479253565645968,0.905127560796945,79.2903030956814,1.96795985700013
4,1,3,4.09946994735391,0.821384345195621,0.822796584423922,1.91314937763633,68.4937093907131,3.86102125907627
4,1,3,4.37196179161886,0.822057889926815,0.812912283311684,1.83089573112369,68.764501617986,3.78944678459103
4,1,3,5.06711861622214,0.684904841883422,0.726408418166082,2.67114899245658,72.6279146108014,3.66891068805212
4,1,3,5.78761198762459,0.780789220601897,0.742480689980791,1.95322135362199,71.5765661879073,3.52419267272629
4,1,3,7.77240110972318,0.769603252020893,0.61267701498137,1.45890939163515,76.6330845768454,2.81636801429258
5,1,2,4.46671307261893,0.74196416826009,0.705451935586707,6.81665952522907,84.3038898026456,5.86468128912438
5,1,2,4.82160071286493,0.827343901640731,0.686616041779983,6.73434360223396,84.4703286648745,5.69471269058697
5,1,2,4.8774670647302,0.816841810787196,0.681970286077878,6.64619282726092,84.5307555759276,5.65614488233339
5,1,2,5.817108003241,0.7804994275292,0.570274041976247,5.1143659595023,86.0363484594711,4.72353966301511
5,1,2,5.82932616080513,0.699858795364647,0.549330879683574,4.76938512396557,85.9644831894988,4.56502291342384
5,1,2,5.89942889471728,0.670161953922068,0.541538773003709,4.6873325222941,85.956064876109,4.48982635828453
5,1,2,6.83518372378344,0.761674412559155,0.411883967821181,3.08589337266132,88.0805085588136,3.4003862542728
5,1,2,6.90328994090969,0.759601728605914,0.400963923743232,2.94712101024488,88.2133099197022,3.30876696873005
5,1,2,7.59248119719929,0.801426422549634,0.305063977710024,2.01865918616209,90.0253543017625,2.55177138191135
5,1,2,8.17397102078682,0.707752273921884,0.242271601058926,0.878590964692189,90.6052748980133,1.85034428849032
