PoleSlot,Magnet,SlotType,MagThk,Embrace,AirgapFlux,Cogging,Efficiency,Torque,Skor
5,3,1,4.68500392583738,0.710292708082685,0.633330607527395,2.36774814512705,85.2938569611358,5.01783220284035,0.785729771790597
5,3,1,6.20142811668279,0.641359988939236,0.498173639883027,2.16285541492225,86.4684194007854,4.01641142168533,0.717560725134646
5,3,2,5.84948991876858,0.717571480544952,0.513460773131586,3.26380291718617,85.5640452564641,4.35077808166306,0.695873987148528
5,3,3,6.28347249430807,0.72639074065991,0.472486704135894,2.95896536894717,86.8625021224842,4.08299557346312,0.688813993593208
5,3,1,5.98853333686037,0.748634218003644,0.486866330028631,3.61297904885836,86.7171776740451,4.35032069647732,0.677835275961122
5,3,3,7.06384345601593,0.723972623736953,0.406058819056634,2.13411238401555,88.2376705874469,3.43666022652132,0.672090936144967
5,3,1,3.71104395179179,0.66266118401894,0.803099457931691,5.54927441631308,84.0016454646163,5.4778864236016,0.665938519048996
5,3,2,4.65371100449672,0.639320668345964,0.723551213049239,5.11694666584878,83.849457766445,4.96389617845989,0.662383333719804
5,3,2,5.93711069559828,0.608945011657479,0.571586095646986,4.08538837481447,85.8505433478553,4.18060614338015,0.660551964915421
5,3,3,5.51038421885161,0.747097947486789,0.527791260447269,4.52619881435328,86.2440153416667,4.61464677492284,0.654236931947944
5,3,1,5.22130440860014,0.617005049154457,0.672054347445685,4.95592641646955,85.5119511595123,4.61754781544766,0.652152769791427
5,3,1,3.50148356859413,0.709280983049447,0.785594279020268,6.12743332910039,84.3001629424417,5.65015424687185,0.640947508864534
5,3,2,7.59498597460236,0.752313869543569,0.354644437516356,1.8377937683818,89.3134260569349,2.82096168295853,0.640406155967547
5,3,2,7.11640810456762,0.800809722552373,0.408776201877866,3.07431314737061,88.7783617378653,3.38499457736379,0.638330961726698
5,3,3,7.22348389276672,0.808577810867264,0.387830443481348,2.81151489273766,89.6341326081243,3.21969930053326,0.636378937641858
5,3,3,5.86303142151992,0.758539737061916,0.5006822685132,4.69361600092225,86.6871015276402,4.45717931681749,0.635467752492784
5,3,3,7.5997881071408,0.603432499103449,0.360043611154974,2.24522442783732,88.9754698036826,2.86810752898419,0.631553756523685
5,3,2,4.79432180480215,0.626538551782202,0.721332882742674,5.69170673478918,84.0780129683399,4.90132698343762,0.630642795941152
5,3,3,5.83048878606225,0.762095612227402,0.502896833398405,4.8472039225603,86.6877283532289,4.48895335574087,0.629872058381162
