PS_10_12,PS_16_24,PS_20_24,PS_4_12,PS_8_12,Mag_Alnico9,Mag_NdFe35,Mag_SmCo28,ST_1,ST_2,ST_3,MagThk_mm,Embrace,AirgapFlux,Cogging,Efficiency,Torque
0,0,0,0,1,0,1,0,0,1,0,8.18,0.55,0.157362,0.15305,94.8615,0.537751
0,0,1,0,0,1,0,0,1,0,0,6.47,0.536,0.130798,0.0671029,93.1666,0.605504
0,1,0,0,0,0,1,0,0,1,0,7.93,0.702,0.318908,1.04121,89.3742,2.51719
0,0,0,0,1,0,1,0,0,0,1,8.16,0.56,0.157024,0.151786,94.8671,0.542194
1,0,0,0,0,0,1,0,0,1,0,7.08,0.673,0.280996,0.0380391,87.2324,0.627016
0,0,0,0,1,1,0,0,1,0,0,4.92,0.826,0.127917,0.104049,96.2604,0.619723
1,0,0,0,0,0,1,0,1,0,0,4.71,0.663,0.437258,0.0600076,84.5432,0.972009
0,0,0,0,1,0,1,0,0,1,0,5.12,0.747,0.316955,0.620924,92.0344,1.303
1,0,0,0,0,0,0,1,1,0,0,4.81,0.697,0.407397,0.321174,84.4359,0.932835
0,0,1,0,0,1,0,0,0,1,0,5.54,0.783,0.128223,0.0810699,89.531,0.720983
1,0,0,0,0,1,0,0,1,0,0,7.4,0.855,0.119716,0.0207796,91.8353,0.331131
0,0,0,0,1,0,0,1,0,1,0,5.07,0.709,0.311293,0.527069,92.0104,1.23819
0,0,0,1,0,0,0,1,0,1,0,8.0,0.763,0.0620505,0.0240205,98.0282,0.259258
0,0,0,1,0,0,0,1,1,0,0,5.65,0.506,0.169437,0.181612,96.1862,0.563205
0,1,0,0,0,0,1,0,0,1,0,7.29,0.683,0.418182,0.935954,87.4359,3.24325
0,0,0,0,1,0,0,1,0,1,0,6.36,0.547,0.284211,0.506199,93.2309,0.974104
0,0,0,0,1,0,0,1,0,1,0,7.72,0.879,0.138644,0.121232,95.44,0.637119
0,1,0,0,0,0,1,0,0,0,1,4.86,0.806,0.622815,7.50356,85.9656,5.41174
0,0,0,0,1,0,1,0,0,0,1,7.07,0.568,0.24351,0.366364,93.6298,0.848276
0,0,0,1,0,1,0,0,0,0,1,4.33,0.808,0.104973,0.0702699,97.7915,0.527197
0,0,1,0,0,0,1,0,0,0,1,5.16,0.83,0.70947,0.13482,69.5547,3.55529
0,0,1,0,0,0,0,1,1,0,0,7.41,0.814,0.433799,0.381097,76.5738,2.14577
0,0,0,0,1,0,1,0,1,0,0,7.48,0.747,0.17688,0.189434,94.5549,0.725983
0,0,1,0,0,0,1,0,1,0,0,6.88,0.883,0.50727,1.329,73.808,2.5611
1,0,0,0,0,1,0,0,0,1,0,6.39,0.719,0.132626,0.040046,92.3566,0.343257
1,0,0,0,0,0,0,1,0,0,1,7.36,0.694,0.243179,0.100405,88.4839,0.553091
0,1,0,0,0,1,0,0,1,0,0,6.69,0.598,0.131095,0.267953,95.0105,1.05481
0,1,0,0,0,1,0,0,1,0,0,4.31,0.856,0.123346,0.300956,95.4542,1.26163
0,0,1,0,0,1,0,0,0,1,0,4.47,0.733,0.124411,0.0902829,90.5704,0.694204
0,0,0,0,1,0,0,1,0,0,1,8.06,0.874,0.116477,0.0853741,95.9116,0.533699
0,1,0,0,0,0,1,0,0,1,0,5.73,0.595,0.621788,6.23176,85.0994,4.43829
1,0,0,0,0,0,0,1,1,0,0,5.45,0.681,0.377291,0.156523,85.4241,0.851473
0,0,1,0,0,1,0,0,1,0,0,6.92,0.779,0.131591,0.0850424,89.7919,0.72299
0,0,0,0,1,0,0,1,0,1,0,7.6,0.835,0.152054,0.144812,95.0197,0.674181
0,0,1,0,0,1,0,0,1,0,0,4.62,0.627,0.125133,0.0703721,92.3791,0.646395
