Nokta,Pole,Slot,SlotType,MagThk_mm,Embrace,Magnet,AirgapFlux_T,Cogging_Nm,Efficiency_%,Torque_Nm,Durum
223,14,12,1,6.78,0.605,NdFe35,,,,,OKUMA_HATA
224,4,12,1,6.34,0.703,SmCo28,0.116637,0.0819735,97.4044,0.462118,OK
225,14,12,1,5.89,0.522,SmCo28,,,,,OKUMA_HATA
226,14,12,2,5.86,0.76,Alnico9,,,,,OKUMA_HATA
227,14,12,3,4.24,0.585,Alnico9,,,,,OKUMA_HATA
228,4,12,2,5.77,0.825,Alnico9,0.0849351,0.0455891,98.0098,0.418331,OK
229,4,12,1,5.19,0.712,Alnico9,0.101309,0.0640045,97.8355,0.462267,OK
230,4,12,1,6.83,0.682,Alnico9,0.0729965,0.0239467,98.1447,0.316424,OK
231,14,12,3,7.75,0.502,SmCo28,,,,,OKUMA_HATA
232,14,12,3,4.45,0.677,Alnico9,,,,,OKUMA_HATA
233,16,24,3,7.57,0.753,Alnico9,0.132303,0.297623,94.7098,1.20577,OK
234,8,12,3,4.37,0.758,Alnico9,0.126692,0.101124,96.1457,0.587286,OK
235,10,12,3,6.72,0.528,NdFe35,0.352011,0.217795,89.3449,0.687893,OK
236,4,12,3,7.63,0.827,SmCo28,0.0713291,0.0318328,97.7844,0.314972,OK
237,14,12,1,6.65,0.665,NdFe35,,,,,OKUMA_HATA
238,20,24,2,8.46,0.83,SmCo28,0.268281,0.0136386,80.7987,1.33292,OK
239,8,12,3,8.4,0.789,Alnico9,0.0606891,0.0227899,97.444,0.277672,OK
240,14,12,3,5.14,0.851,SmCo28,,,,,OKUMA_HATA
241,16,24,1,6.65,0.823,NdFe35,0.451919,3.93974,88.479,3.97022,OK
242,16,24,3,8.13,0.664,NdFe35,0.30073,0.0690871,90.1982,2.29076,OK
243,8,12,2,4.83,0.809,NdFe35,0.325034,0.671682,92.1597,1.41059,OK
244,14,12,3,5.18,0.509,Alnico9,,,,,OKUMA_HATA
245,8,12,1,7.32,0.708,SmCo28,0.192446,0.19453,94.2857,0.762747,OK
246,20,24,3,6.66,0.701,Alnico9,0.131132,0.0631267,90.79,0.685731,OK
247,10,12,1,7.18,0.839,NdFe35,0.231599,0.0235358,86.7259,0.58234,OK
248,10,12,3,5.52,0.556,SmCo28,0.418057,0.414756,87.5677,0.844255,OK
249,16,24,3,8.42,0.572,NdFe35,0.283243,1.36932,91.1104,1.97871,OK
250,14,12,3,5.54,0.736,Alnico9,,,,,OKUMA_HATA
251,8,12,3,4.91,0.61,SmCo28,0.347127,0.708146,92.1772,1.2638,OK
252,16,24,3,5.93,0.755,SmCo28,0.528875,4.87006,86.7963,4.3987,OK
253,16,24,3,4.42,0.864,SmCo28,0.612256,7.39235,86.7994,5.59229,OK
254,16,24,2,7.85,0.829,Alnico9,0.130925,0.329395,94.8428,1.26592,OK
255,4,12,2,4.23,0.559,Alnico9,0.120517,0.0926775,0.43654,5.57749,OK
256,16,24,1,4.87,0.629,NdFe35,0.676342,5.28699,84.6859,5.04099,OK
257,10,12,2,5.4,0.534,NdFe35,0.452059,0.412827,86.906,0.891183,OK
258,20,24,1,6.85,0.835,NdFe35,0.527495,0.117427,73.6884,2.6335,OK
259,16,24,1,6.77,0.808,Alnico9,0.130954,0.326811,95.0246,1.25478,OK
260,20,24,1,7.54,0.695,Alnico9,0.132775,0.0530819,90.8094,0.685873,OK
261,14,12,1,5.51,0.859,NdFe35,,,,,OKUMA_HATA
262,8,12,1,7.94,0.713,Alnico9,0.0878083,0.0418132,96.7396,0.378058,OK
263,16,24,1,5.84,0.604,SmCo28,0.578726,5.09155,86.3336,4.17849,OK
264,10,12,3,6.59,0.561,NdFe35,0.350924,0.289751,88.6243,0.709581,OK
265,14,12,2,7.43,0.503,Alnico9,,,,,OKUMA_HATA
266,4,12,2,8.19,0.821,Alnico9,0.0342626,0.00732351,0.386734,3.9948,OK
267,10,12,1,7.43,0.801,NdFe35,0.217791,0.0886739,87.6254,0.536414,OK
268,14,12,2,4.25,0.888,NdFe35,,,,,OKUMA_HATA
269,20,24,2,7.37,0.617,NdFe35,0.541027,1.39388,77.9672,2.29744,OK
270,10,12,1,8.12,0.632,Alnico9,0.105642,0.021284,94.3986,0.251898,OK
271,8,12,3,8.27,0.621,Alnico9,0.0792274,0.0337692,0.458158,10.5228,OK
272,4,12,1,4.8,0.605,Alnico9,0.116067,0.0854179,0.455308,5.27433,OK
273,16,24,3,7.29,0.867,SmCo28,0.348651,2.34834,90.4231,3.1769,OK
274,10,12,2,5.09,0.797,SmCo28,0.381953,0.305049,82.2073,0.943247,OK
275,20,24,3,5.75,0.851,SmCo28,0.638766,0.980578,70.8468,3.22273,OK
276,8,12,3,7.06,0.857,SmCo28,0.185104,0.215701,94.6578,0.836061,OK
277,20,24,2,4.36,0.735,Alnico9,0.123923,0.0906941,90.5903,0.694498,OK
278,20,24,1,4.96,0.839,Alnico9,0.126268,0.0149006,89.6917,0.735047,OK
279,10,12,3,7.58,0.752,NdFe35,0.214256,0.109134,88.4382,0.509398,OK
280,4,12,1,4.41,0.506,NdFe35,0.217383,0.30131,95.7287,0.724572,OK
281,14,12,2,8.03,0.514,NdFe35,,,,,OKUMA_HATA
282,16,24,2,6.5,0.663,Alnico9,0.130595,0.0204973,94.4181,1.11734,OK
283,20,24,3,4.97,0.86,NdFe35,0.717283,1.79569,69.0318,3.62972,OK
284,8,12,1,4.3,0.508,NdFe35,0.448096,1.28181,92.1644,1.47648,OK
285,20,24,3,4.49,0.565,NdFe35,0.912868,4.88017,74.7201,3.73027,OK
286,20,24,3,5.65,0.568,Alnico9,0.128737,0.0956341,92.8159,0.620053,OK
287,8,12,2,8.01,0.609,SmCo28,0.156273,0.139954,94.8903,0.566989,OK
288,14,12,1,6.99,0.84,SmCo28,,,,,OKUMA_HATA
289,16,24,2,7.11,0.881,SmCo28,0.367027,2.58897,89.8132,3.37799,OK
290,10,12,2,5.95,0.596,SmCo28,0.369271,0.332356,86.9141,0.773319,OK
291,20,24,3,4.7,0.855,NdFe35,0.727038,1.5639,68.8768,3.67873,OK
292,10,12,1,7.2,0.515,NdFe35,0.316602,0.107215,90.2302,0.608561,OK
293,14,12,3,5.48,0.518,NdFe35,,,,,OKUMA_HATA
294,14,12,1,6.19,0.643,SmCo28,,,,,OKUMA_HATA
295,14,12,3,6.04,0.882,SmCo28,,,,,OKUMA_HATA
296,20,24,3,6.45,0.578,SmCo28,0.641077,2.39355,78.4719,2.63971,OK
297,20,24,1,5.03,0.642,Alnico9,0.12669,0.0488794,92.0503,0.6545,OK
